序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤)
70,22,茄子,普通大棚,第一季,8000.0,2400.0,5.00-6.00
71,23,菠菜,普通大棚,第一季,3300.0,2700.0,4.80-6.70
72,24,青椒,普通大棚,第一季,3000.0,2000.0,4.00-6.50
73,25,菜花,普通大棚,第一季,4000.0,3000.0,5.00-6.00
74,26,包菜,普通大棚,第一季,4500.0,3500.0,5.50-7.50
75,27,油麦菜,普通大棚,第一季,5000.0,2000.0,4.00-6.00
76,28,小青菜,普通大棚,第一季,4000.0,2000.0,5.00-6.50
77,29,黄瓜,普通大棚,第一季,15000.0,3500.0,6.00-8.00
78,30,生菜,普通大棚,第一季,5000.0,2000.0,4.50-6.00
79,31,辣椒,普通大棚,第一季,2000.0,1200.0,6.00-8.50
80,32,空心菜,普通大棚,第一季,12000.0,5000.0,3.00-6.00
81,33,黄心菜,普通大棚,第一季,6000.0,2500.0,4.00-5.00
82,34,芹菜,普通大棚,第一季,6600.0,1100.0,3.20-4.80
83,35,大白菜,水浇地,第二季,5000.0,2000.0,2.00-3.00
84,36,白萝卜,水浇地,第二季,4000.0,500.0,2.00-3.00
85,37,红萝卜,水浇地,第二季,3000.0,500.0,2.50-4.00
86,38,榆黄菇,普通大棚,第二季,5000.0,3000.0,50.00-65.00
87,39,香菇,普通大棚,第二季,4000.0,2000.0,18.00-20.00
88,40,白灵菇,普通大棚,第二季,10000.0,10000.0,14.00-18.00
89,41,羊肚菌,普通大棚,第二季,1000.0,10000.0,80.00-120.00
90,17,豇豆,智慧大棚,第二季,3200.0,2640.0,8.40-10.80
91,18,刀豆,智慧大棚,第二季,2200.0,1320.0,6.60-9.60
92,19,芸豆,智慧大棚,第二季,3200.0,2640.0,6.00-9.60
93,20,土豆,智慧大棚,第二季,2200.0,2640.0,3.60-5.40
94,21,西红柿,智慧大棚,第二季,2700.0,2640.0,6.00-9.00
95,22,茄子,智慧大棚,第二季,7200.0,2640.0,6.00-7.20
96,23,菠菜,智慧大棚,第二季,3000.0,3000.0,5.80-8.00
97,24,青椒,智慧大棚,第二季,2700.0,2200.0,5.80-7.80
98,25,菜花,智慧大棚,第二季,3600.0,3300.0,6.00-7.20
99,26,包菜,智慧大棚,第二季,4100.0,3850.0,6.60-9.00
100,27,油麦菜,智慧大棚,第二季,4500.0,2200.0,4.80-7.20
101,28,小青菜,智慧大棚,第二季,3600.0,2200.0,6.00-7.80
102,29,黄瓜,智慧大棚,第二季,13500.0,3850.0,7.20-9.60
103,30,生菜,智慧大棚,第二季,4500.0,2200.0,5.40-7.20
104,31,辣椒,智慧大棚,第二季,1800.0,1300.0,7.20-10.20
105,32,空心菜,智慧大棚,第二季,11000.0,5500.0,3.60-7.20
106,33,黄心菜,智慧大棚,第二季,5400.0,2750.0,4.80-6.00
107,34,芹菜,智慧大棚,第二季,6000.0,1200.0,3.80-5.80
